ID;Year;Date;Stage;Home Team;Home Goals;Away Goals;Away Team;Host Team
499;1994;30/06/1994;Group stage;Greece;0;2;Nigeria;FALSO
500;1994;30/06/1994;Group stage;Argentina;0;2;Bulgaria;FALSO
501;1994;02/07/1994;Round of 16;Germany;3;2;Belgium;FALSO
502;1994;02/07/1994;Round of 16;Spain;3;0;Switzerland;FALSO
503;1994;03/07/1994;Round of 16;Saudi Arabia;1;3;Sweden;FALSO
504;1994;03/07/1994;Round of 16;Romania;3;2;Argentina;FALSO
505;1994;04/07/1994;Round of 16;Netherlands;2;0;Republic of Ireland;FALSO
506;1994;04/07/1994;Round of 16;United States;0;1;Brazil;VERO
507;1994;05/07/1994;Round of 16;Nigeria;1;2;Italy;FALSO
508;1994;05/07/1994;Round of 16;Mexico;1;1;Bulgaria;FALSO
509;1994;09/07/1994;Quarter-finals;Italy;2;1;Spain;FALSO
510;1994;09/07/1994;Quarter-finals;Netherlands;2;3;Brazil;FALSO
511;1994;10/07/1994;Quarter-finals;Bulgaria;2;1;Germany;FALSO
512;1994;10/07/1994;Quarter-finals;Romania;2;2;Sweden;FALSO
513;1994;13/07/1994;Semi-finals;Bulgaria;1;2;Italy;FALSO
514;1994;13/07/1994;Semi-finals;Sweden;0;1;Brazil;FALSO
515;1994;16/07/1994;Third place;Sweden;4;0;Bulgaria;FALSO
516;1994;17/07/1994;Final;Brazil;0;0;Italy;FALSO
517;1998;10/06/1998;Group stage;Brazil;2;1;Scotland;FALSO
518;1998;10/06/1998;Group stage;Morocco;2;2;Norway;FALSO
519;1998;11/06/1998;Group stage;Italy;2;2;Chile;FALSO
520;1998;11/06/1998;Group stage;Cameroon;1;1;Austria;FALSO
521;1998;12/06/1998;Group stage;Paraguay;0;0;Bulgaria;FALSO
522;1998;12/06/1998;Group stage;Saudi Arabia;0;1;Denmark;FALSO
523;1998;12/06/1998;Group stage;France;3;0;South Africa;VERO
524;1998;13/06/1998;Group stage;Spain;2;3;Nigeria;FALSO
525;1998;13/06/1998;Group stage;South Korea;1;3;Mexico;FALSO
526;1998;13/06/1998;Group stage;Netherlands;0;0;Belgium;FALSO
527;1998;14/06/1998;Group stage;Argentina;1;0;Japan;FALSO
528;1998;14/06/1998;Group stage;Yugoslavia;1;0;Iran;FALSO
529;1998;14/06/1998;Group stage;Jamaica;1;3;Croatia;FALSO
530;1998;15/06/1998;Group stage;England;2;0;Tunisia;FALSO
531;1998;15/06/1998;Group stage;Romania;1;0;Colombia;FALSO
532;1998;15/06/1998;Group stage;Germany;2;0;United States;FALSO
533;1998;16/06/1998;Group stage;Scotland;1;1;Norway;FALSO
534;1998;16/06/1998;Group stage;Brazil;3;0;Morocco;FALSO
535;1998;17/06/1998;Group stage;Chile;1;1;Austria;FALSO
536;1998;17/06/1998;Group stage;Italy;3;0;Cameroon;FALSO
537;1998;18/06/1998;Group stage;South Africa;1;1;Denmark;FALSO
538;1998;18/06/1998;Group stage;France;4;0;Saudi Arabia;VERO
539;1998;19/06/1998;Group stage;Nigeria;1;0;Bulgaria;FALSO
540;1998;19/06/1998;Group stage;Spain;0;0;Paraguay;FALSO
541;1998;20/06/1998;Group stage;Japan;0;1;Croatia;FALSO
542;1998;20/06/1998;Group stage;Belgium;2;2;Mexico;FALSO
543;1998;20/06/1998;Group stage;Netherlands;5;0;South Korea;FALSO
544;1998;21/06/1998;Group stage;Germany;2;2;Yugoslavia;FALSO
545;1998;21/06/1998;Group stage;Argentina;5;0;Jamaica;FALSO
546;1998;21/06/1998;Group stage;United States;1;2;Iran;FALSO
547;1998;22/06/1998;Group stage;Colombia;1;0;Tunisia;FALSO
548;1998;22/06/1998;Group stage;Romania;2;1;England;FALSO
549;1998;23/06/1998;Group stage;Italy;2;1;Austria;FALSO
550;1998;23/06/1998;Group stage;Chile;1;1;Cameroon;FALSO
551;1998;23/06/1998;Group stage;Scotland;0;3;Morocco;FALSO
552;1998;23/06/1998;Group stage;Brazil;1;2;Norway;FALSO
553;1998;24/06/1998;Group stage;France;2;1;Denmark;VERO
554;1998;24/06/1998;Group stage;South Africa;2;2;Saudi Arabia;FALSO
555;1998;24/06/1998;Group stage;Spain;6;1;Bulgaria;FALSO
556;1998;24/06/1998;Group stage;Nigeria;1;3;Paraguay;FALSO
557;1998;25/06/1998;Group stage;Belgium;1;1;South Korea;FALSO
558;1998;25/06/1998;Group stage;Netherlands;2;2;Mexico;FALSO
559;1998;25/06/1998;Group stage;Germany;2;0;Iran;FALSO
560;1998;25/06/1998;Group stage;United States;0;1;Yugoslavia;FALSO
561;1998;26/06/1998;Group stage;Japan;1;2;Jamaica;FALSO
562;1998;26/06/1998;Group stage;Argentina;1;0;Croatia;FALSO
563;1998;26/06/1998;Group stage;Romania;1;1;Tunisia;FALSO
564;1998;26/06/1998;Group stage;Colombia;0;2;England;FALSO
565;1998;27/06/1998;Round of 16;Italy;1;0;Norway;FALSO
566;1998;27/06/1998;Round of 16;Brazil;4;1;Chile;FALSO
567;1998;28/06/1998;Round of 16;France;1;0;Paraguay;VERO
568;1998;28/06/1998;Round of 16;Nigeria;1;4;Denmark;FALSO
569;1998;29/06/1998;Round of 16;Germany;2;1;Mexico;FALSO
570;1998;29/06/1998;Round of 16;Netherlands;2;1;Yugoslavia;FALSO
571;1998;30/06/1998;Round of 16;Romania;0;1;Croatia;FALSO
572;1998;30/06/1998;Round of 16;Argentina;2;2;England;FALSO
573;1998;03/07/1998;Quarter-finals;France;0;0;Italy;VERO
574;1998;03/07/1998;Quarter-finals;Brazil;3;2;Denmark;FALSO
575;1998;04/07/1998;Quarter-finals;Netherlands;2;1;Argentina;FALSO
576;1998;04/07/1998;Quarter-finals;Germany;0;3;Croatia;FALSO
577;1998;07/07/1998;Semi-finals;Brazil;1;1;Netherlands;FALSO
578;1998;08/07/1998;Semi-finals;France;2;1;Croatia;VERO
579;1998;11/07/1998;Third place;Netherlands;1;2;Croatia;FALSO
580;1998;12/07/1998;Final;France;3;0;Brazil;VERO
581;2002;31/05/2002;Group stage;France;0;1;Senegal;FALSO
582;2002;01/06/2002;Group stage;Republic of Ireland;1;1;Cameroon;FALSO
583;2002;01/06/2002;Group stage;Uruguay;1;2;Denmark;FALSO
584;2002;01/06/2002;Group stage;Germany;8;0;Saudi Arabia;FALSO
585;2002;02/06/2002;Group stage;Argentina;1;0;Nigeria;FALSO
586;2002;02/06/2002;Group stage;Paraguay;2;2;South Africa;FALSO
587;2002;02/06/2002;Group stage;England;1;1;Sweden;FALSO
588;2002;02/06/2002;Group stage;Spain;3;1;Slovenia;FALSO
589;2002;03/06/2002;Group stage;Croatia;0;1;Mexico;FALSO
590;2002;03/06/2002;Group stage;Brazil;2;1;Turkey;FALSO
591;2002;03/06/2002;Group stage;Italy;2;0;Ecuador;FALSO
592;2002;04/06/2002;Group stage;China;0;2;Costa Rica;FALSO
593;2002;04/06/2002;Group stage;Japan;2;2;Belgium;VERO
594;2002;04/06/2002;Group stage;South Korea;2;0;Poland;VERO
595;2002;05/06/2002;Group stage;Russia;2;0;Tunisia;FALSO
596;2002;05/06/2002;Group stage;United States;3;2;Portugal;FALSO
597;2002;05/06/2002;Group stage;Germany;1;1;Republic of Ireland;FALSO
598;2002;06/06/2002;Group stage;Denmark;1;1;Senegal;FALSO
599;2002;06/06/2002;Group stage;Cameroon;1;0;Saudi Arabia;FALSO
600;2002;06/06/2002;Group stage;France;0;0;Uruguay;FALSO
601;2002;07/06/2002;Group stage;Sweden;2;1;Nigeria;FALSO
602;2002;07/06/2002;Group stage;Spain;3;1;Paraguay;FALSO
603;2002;07/06/2002;Group stage;Argentina;0;1;England;FALSO
604;2002;08/06/2002;Group stage;South Africa;1;0;Slovenia;FALSO
605;2002;08/06/2002;Group stage;Italy;1;2;Croatia;FALSO
606;2002;08/06/2002;Group stage;Brazil;4;0;China;FALSO
607;2002;09/06/2002;Group stage;Mexico;2;1;Ecuador;FALSO
608;2002;09/06/2002;Group stage;Costa Rica;1;1;Turkey;FALSO
609;2002;09/06/2002;Group stage;Japan;1;0;Russia;VERO
610;2002;10/06/2002;Group stage;South Korea;1;1;United States;VERO
611;2002;10/06/2002;Group stage;Tunisia;1;1;Belgium;FALSO
612;2002;10/06/2002;Group stage;Portugal;4;0;Poland;FALSO
613;2002;11/06/2002;Group stage;Denmark;2;0;France;FALSO
614;2002;11/06/2002;Group stage;Senegal;3;3;Uruguay;FALSO
615;2002;11/06/2002;Group stage;Saudi Arabia;0;3;Republic of Ireland;FALSO
616;2002;11/06/2002;Group stage;Cameroon;0;2;Germany;FALSO
617;2002;12/06/2002;Group stage;Sweden;1;1;Argentina;FALSO
618;2002;12/06/2002;Group stage;Nigeria;0;0;England;FALSO
619;2002;12/06/2002;Group stage;Slovenia;1;3;Paraguay;FALSO
620;2002;12/06/2002;Group stage;South Africa;2;3;Spain;FALSO
621;2002;13/06/2002;Group stage;Costa Rica;2;5;Brazil;FALSO
622;2002;13/06/2002;Group stage;Turkey;3;0;China;FALSO
623;2002;13/06/2002;Group stage;Ecuador;1;0;Croatia;FALSO
624;2002;13/06/2002;Group stage;Mexico;1;1;Italy;FALSO
625;2002;14/06/2002;Group stage;Japan;2;0;Tunisia;VERO
626;2002;14/06/2002;Group stage;Belgium;3;2;Russia;FALSO
627;2002;14/06/2002;Group stage;South Korea;1;0;Portugal;VERO
628;2002;14/06/2002;Group stage;Poland;3;1;United States;FALSO
629;2002;15/06/2002;Round of 16;Germany;1;0;Paraguay;FALSO
630;2002;15/06/2002;Round of 16;Denmark;0;3;England;FALSO
631;2002;16/06/2002;Round of 16;Sweden;1;2;Senegal;FALSO
632;2002;16/06/2002;Round of 16;Spain;1;1;Republic of Ireland;FALSO
633;2002;17/06/2002;Round of 16;Mexico;0;2;United States;FALSO
634;2002;17/06/2002;Round of 16;Brazil;2;0;Belgium;FALSO
635;2002;18/06/2002;Round of 16;Japan;0;1;Turkey;VERO
636;2002;18/06/2002;Round of 16;South Korea;2;1;Italy;VERO
637;2002;21/06/2002;Quarter-finals;England;1;2;Brazil;FALSO
638;2002;21/06/2002;Quarter-finals;Germany;1;0;United States;FALSO
639;2002;22/06/2002;Quarter-finals;South Korea;0;0;Spain;VERO
640;2002;22/06/2002;Quarter-finals;Senegal;0;1;Turkey;FALSO
641;2002;25/06/2002;Semi-finals;South Korea;0;1;Germany;VERO
642;2002;26/06/2002;Semi-finals;Brazil;1;0;Turkey;FALSO
643;2002;29/06/2002;Third place;South Korea;2;3;Turkey;VERO
644;2002;30/06/2002;Final;Germany;0;2;Brazil;FALSO
645;2006;09/06/2006;Group stage;Germany;4;2;Costa Rica;VERO
646;2006;09/06/2006;Group stage;Poland;0;2;Ecuador;FALSO
647;2006;10/06/2006;Group stage;England;1;0;Paraguay;FALSO
648;2006;10/06/2006;Group stage;Trinidad and Tobago;0;0;Sweden;FALSO
649;2006;10/06/2006;Group stage;Argentina;2;1;Ivory Coast;FALSO
650;2006;11/06/2006;Group stage;Serbia;0;1;Netherlands;FALSO
651;2006;11/06/2006;Group stage;Mexico;3;1;Iran;FALSO
652;2006;11/06/2006;Group stage;Angola;0;1;Portugal;FALSO
653;2006;12/06/2006;Group stage;Australia;3;1;Japan;FALSO
654;2006;12/06/2006;Group stage;United States;0;3;Czech Republic;FALSO
655;2006;12/06/2006;Group stage;Italy;2;0;Ghana;FALSO
656;2006;13/06/2006;Group stage;South Korea;2;1;Togo;FALSO
657;2006;13/06/2006;Group stage;France;0;0;Switzerland;FALSO
658;2006;13/06/2006;Group stage;Brazil;1;0;Croatia;FALSO
659;2006;14/06/2006;Group stage;Spain;4;0;Ukraine;FALSO
660;2006;14/06/2006;Group stage;Tunisia;2;2;Saudi Arabia;FALSO
661;2006;14/06/2006;Group stage;Germany;1;0;Poland;VERO
662;2006;15/06/2006;Group stage;Ecuador;3;0;Costa Rica;FALSO
663;2006;15/06/2006;Group stage;England;2;0;Trinidad and Tobago;FALSO
664;2006;15/06/2006;Group stage;Sweden;1;0;Paraguay;FALSO
665;2006;16/06/2006;Group stage;Argentina;6;0;Serbia;FALSO
666;2006;16/06/2006;Group stage;Netherlands;2;1;Ivory Coast;FALSO
667;2006;16/06/2006;Group stage;Mexico;0;0;Angola;FALSO
668;2006;17/06/2006;Group stage;Portugal;2;0;Iran;FALSO
669;2006;17/06/2006;Group stage;Czech Republic;0;2;Ghana;FALSO
670;2006;17/06/2006;Group stage;Italy;1;1;United States;FALSO
671;2006;18/06/2006;Group stage;Japan;0;0;Croatia;FALSO
672;2006;18/06/2006;Group stage;Brazil;2;0;Australia;FALSO
673;2006;18/06/2006;Group stage;France;1;1;South Korea;FALSO
674;2006;19/06/2006;Group stage;Togo;0;2;Switzerland;FALSO
675;2006;19/06/2006;Group stage;Saudi Arabia;0;4;Ukraine;FALSO
676;2006;19/06/2006;Group stage;Spain;3;1;Tunisia;FALSO
677;2006;20/06/2006;Group stage;Germany;3;0;Ecuador;VERO
678;2006;20/06/2006;Group stage;Costa Rica;1;2;Poland;FALSO
679;2006;20/06/2006;Group stage;Sweden;2;2;England;FALSO
680;2006;20/06/2006;Group stage;Paraguay;2;0;Trinidad and Tobago;FALSO
681;2006;21/06/2006;Group stage;Iran;1;1;Angola;FALSO
682;2006;21/06/2006;Group stage;Portugal;2;1;Mexico;FALSO
683;2006;21/06/2006;Group stage;Netherlands;0;0;Argentina;FALSO
684;2006;21/06/2006;Group stage;Ivory Coast;3;2;Serbia;FALSO
685;2006;22/06/2006;Group stage;Czech Republic;0;2;Italy;FALSO
686;2006;22/06/2006;Group stage;Ghana;2;1;United States;FALSO
687;2006;22/06/2006;Group stage;Japan;1;4;Brazil;FALSO
688;2006;22/06/2006;Group stage;Croatia;2;2;Australia;FALSO
689;2006;23/06/2006;Group stage;Ukraine;1;0;Tunisia;FALSO
690;2006;23/06/2006;Group stage;Saudi Arabia;0;1;Spain;FALSO
691;2006;23/06/2006;Group stage;Togo;0;2;France;FALSO
692;2006;23/06/2006;Group stage;Switzerland;2;0;South Korea;FALSO
693;2006;24/06/2006;Round of 16;Germany;2;0;Sweden;VERO
694;2006;24/06/2006;Round of 16;Argentina;2;1;Mexico;FALSO
695;2006;25/06/2006;Round of 16;England;1;0;Ecuador;FALSO
696;2006;25/06/2006;Round of 16;Portugal;1;0;Netherlands;FALSO
697;2006;26/06/2006;Round of 16;Italy;1;0;Australia;FALSO
698;2006;26/06/2006;Round of 16;Switzerland;0;0;Ukraine;FALSO
699;2006;27/06/2006;Round of 16;Brazil;3;0;Ghana;FALSO
700;2006;27/06/2006;Round of 16;Spain;1;3;France;FALSO
701;2006;30/06/2006;Quarter-finals;Germany;1;1;Argentina;VERO
702;2006;30/06/2006;Quarter-finals;Italy;3;0;Ukraine;FALSO
703;2006;01/07/2006;Quarter-finals;England;0;0;Portugal;FALSO
704;2006;01/07/2006;Quarter-finals;Brazil;0;1;France;FALSO
705;2006;04/07/2006;Semi-finals;Germany;0;2;Italy;VERO
706;2006;05/07/2006;Semi-finals;Portugal;0;1;France;FALSO
707;2006;08/07/2006;Third place;Germany;3;1;Portugal;VERO
708;2006;09/07/2006;Final;Italy;1;1;France;FALSO
709;2010;11/06/2010;Group stage;South Africa;1;1;Mexico;VERO
710;2010;11/06/2010;Group stage;Uruguay;0;0;France;FALSO
711;2010;12/06/2010;Group stage;South Korea;2;0;Greece;FALSO
712;2010;12/06/2010;Group stage;Argentina;1;0;Nigeria;FALSO
713;2010;12/06/2010;Group stage;England;1;1;United States;FALSO
714;2010;13/06/2010;Group stage;Algeria;0;1;Slovenia;FALSO
715;2010;13/06/2010;Group stage;Serbia;0;1;Ghana;FALSO
716;2010;13/06/2010;Group stage;Germany;4;0;Australia;FALSO
717;2010;14/06/2010;Group stage;Netherlands;2;0;Denmark;FALSO
718;2010;14/06/2010;Group stage;Japan;1;0;Cameroon;FALSO
719;2010;14/06/2010;Group stage;Italy;1;1;Paraguay;FALSO
720;2010;15/06/2010;Group stage;New Zealand;1;1;Slovakia;FALSO
721;2010;15/06/2010;Group stage;Ivory Coast;0;0;Portugal;FALSO
722;2010;15/06/2010;Group stage;Brazil;2;1;North Korea;FALSO
723;2010;16/06/2010;Group stage;Honduras;0;1;Chile;FALSO
724;2010;16/06/2010;Group stage;Spain;0;1;Switzerland;FALSO
725;2010;16/06/2010;Group stage;South Africa;0;3;Uruguay;VERO
726;2010;17/06/2010;Group stage;Argentina;4;1;South Korea;FALSO
727;2010;17/06/2010;Group stage;Greece;2;1;Nigeria;FALSO
728;2010;17/06/2010;Group stage;France;0;2;Mexico;FALSO
729;2010;18/06/2010;Group stage;Germany;0;1;Serbia;FALSO
730;2010;18/06/2010;Group stage;Slovenia;2;2;United States;FALSO
731;2010;18/06/2010;Group stage;England;0;0;Algeria;FALSO
732;2010;19/06/2010;Group stage;Netherlands;1;0;Japan;FALSO
733;2010;19/06/2010;Group stage;Ghana;1;1;Australia;FALSO
734;2010;19/06/2010;Group stage;Cameroon;1;2;Denmark;FALSO
735;2010;20/06/2010;Group stage;Slovakia;0;2;Paraguay;FALSO
736;2010;20/06/2010;Group stage;Italy;1;1;New Zealand;FALSO
737;2010;20/06/2010;Group stage;Brazil;3;1;Ivory Coast;FALSO
738;2010;21/06/2010;Group stage;Portugal;7;0;North Korea;FALSO
739;2010;21/06/2010;Group stage;Chile;1;0;Switzerland;FALSO
740;2010;21/06/2010;Group stage;Spain;2;0;Honduras;FALSO
741;2010;22/06/2010;Group stage;Mexico;0;1;Uruguay;FALSO
742;2010;22/06/2010;Group stage;South Africa;2;1;France;VERO
743;2010;22/06/2010;Group stage;Nigeria;2;2;South Korea;FALSO
744;2010;22/06/2010;Group stage;Greece;0;2;Argentina;FALSO
745;2010;23/06/2010;Group stage;Slovenia;0;1;England;FALSO
746;2010;23/06/2010;Group stage;United States;1;0;Algeria;FALSO
747;2010;23/06/2010;Group stage;Ghana;0;1;Germany;FALSO
748;2010;23/06/2010;Group stage;Australia;2;1;Serbia;FALSO
749;2010;24/06/2010;Group stage;Slovakia;3;2;Italy;FALSO
750;2010;24/06/2010;Group stage;Paraguay;0;0;New Zealand;FALSO
751;2010;24/06/2010;Group stage;Denmark;1;3;Japan;FALSO
752;2010;24/06/2010;Group stage;Cameroon;1;2;Netherlands;FALSO
753;2010;25/06/2010;Group stage;Portugal;0;0;Brazil;FALSO
754;2010;25/06/2010;Group stage;North Korea;0;3;Ivory Coast;FALSO
755;2010;25/06/2010;Group stage;Chile;1;2;Spain;FALSO
756;2010;25/06/2010;Group stage;Switzerland;0;0;Honduras;FALSO
757;2010;26/06/2010;Round of 16;Uruguay;2;1;South Korea;FALSO
758;2010;26/06/2010;Round of 16;United States;1;2;Ghana;FALSO
759;2010;27/06/2010;Round of 16;Germany;4;1;England;FALSO
760;2010;27/06/2010;Round of 16;Argentina;3;1;Mexico;FALSO
761;2010;28/06/2010;Round of 16;Netherlands;2;1;Slovakia;FALSO
762;2010;28/06/2010;Round of 16;Brazil;3;0;Chile;FALSO
763;2010;29/06/2010;Round of 16;Paraguay;0;0;Japan;FALSO
764;2010;29/06/2010;Round of 16;Spain;1;0;Portugal;FALSO
765;2010;02/07/2010;Quarter-finals;Netherlands;2;1;Brazil;FALSO
766;2010;02/07/2010;Quarter-finals;Uruguay;1;1;Ghana;FALSO
767;2010;03/07/2010;Quarter-finals;Argentina;0;4;Germany;FALSO
768;2010;03/07/2010;Quarter-finals;Paraguay;0;1;Spain;FALSO
769;2010;06/07/2010;Semi-finals;Uruguay;2;3;Netherlands;FALSO
770;2010;07/07/2010;Semi-finals;Germany;0;1;Spain;FALSO
771;2010;10/07/2010;Third place;Uruguay;2;3;Germany;FALSO
772;2010;11/07/2010;Final;Netherlands;0;1;Spain;FALSO
773;2014;12/06/2014;Group stage;Brazil;3;1;Croatia;VERO
774;2014;13/06/2014;Group stage;Mexico;1;0;Cameroon;FALSO
775;2014;13/06/2014;Group stage;Spain;1;5;Netherlands;FALSO
776;2014;13/06/2014;Group stage;Chile;3;1;Australia;FALSO
777;2014;14/06/2014;Group stage;Colombia;3;0;Greece;FALSO
778;2014;14/06/2014;Group stage;Uruguay;1;3;Costa Rica;FALSO
779;2014;14/06/2014;Group stage;England;1;2;Italy;FALSO
780;2014;14/06/2014;Group stage;Ivory Coast;2;1;Japan;FALSO
781;2014;15/06/2014;Group stage;Switzerland;2;1;Ecuador;FALSO
782;2014;15/06/2014;Group stage;France;3;0;Honduras;FALSO
783;2014;15/06/2014;Group stage;Argentina;2;1;Bosnia and Herzegovina;FALSO
784;2014;16/06/2014;Group stage;Germany;4;0;Portugal;FALSO
785;2014;16/06/2014;Group stage;Iran;0;0;Nigeria;FALSO
786;2014;16/06/2014;Group stage;Ghana;1;2;United States;FALSO
787;2014;17/06/2014;Group stage;Belgium;2;1;Algeria;FALSO
788;2014;17/06/2014;Group stage;Brazil;0;0;Mexico;VERO
789;2014;17/06/2014;Group stage;Russia;1;1;South Korea;FALSO
790;2014;18/06/2014;Group stage;Australia;2;3;Netherlands;FALSO
791;2014;18/06/2014;Group stage;Spain;0;2;Chile;FALSO
792;2014;18/06/2014;Group stage;Cameroon;0;4;Croatia;FALSO
793;2014;19/06/2014;Group stage;Colombia;2;1;Ivory Coast;FALSO
794;2014;19/06/2014;Group stage;Uruguay;2;1;England;FALSO
795;2014;19/06/2014;Group stage;Japan;0;0;Greece;FALSO
796;2014;20/06/2014;Group stage;Italy;0;1;Costa Rica;FALSO
797;2014;20/06/2014;Group stage;Switzerland;2;5;France;FALSO
798;2014;20/06/2014;Group stage;Honduras;1;2;Ecuador;FALSO
799;2014;21/06/2014;Group stage;Argentina;1;0;Iran;FALSO
800;2014;21/06/2014;Group stage;Germany;2;2;Ghana;FALSO
801;2014;21/06/2014;Group stage;Nigeria;1;0;Bosnia and Herzegovina;FALSO
802;2014;22/06/2014;Group stage;Belgium;1;0;Russia;FALSO
803;2014;22/06/2014;Group stage;South Korea;2;4;Algeria;FALSO
804;2014;22/06/2014;Group stage;United States;2;2;Portugal;FALSO
805;2014;23/06/2014;Group stage;Australia;0;3;Spain;FALSO
806;2014;23/06/2014;Group stage;Netherlands;2;0;Chile;FALSO
807;2014;23/06/2014;Group stage;Brazil;4;1;Cameroon;VERO
808;2014;23/06/2014;Group stage;Croatia;1;3;Mexico;FALSO
809;2014;24/06/2014;Group stage;Italy;0;1;Uruguay;FALSO
810;2014;24/06/2014;Group stage;Costa Rica;0;0;England;FALSO
811;2014;24/06/2014;Group stage;Japan;1;4;Colombia;FALSO
812;2014;24/06/2014;Group stage;Greece;2;1;Ivory Coast;FALSO
813;2014;25/06/2014;Group stage;Nigeria;2;3;Argentina;FALSO
814;2014;25/06/2014;Group stage;Bosnia and Herzegovina;3;1;Iran;FALSO
815;2014;25/06/2014;Group stage;Honduras;0;3;Switzerland;FALSO
816;2014;25/06/2014;Group stage;Ecuador;0;0;France;FALSO
817;2014;26/06/2014;Group stage;United States;0;1;Germany;FALSO
818;2014;26/06/2014;Group stage;Portugal;2;1;Ghana;FALSO
819;2014;26/06/2014;Group stage;South Korea;0;1;Belgium;FALSO
820;2014;26/06/2014;Group stage;Algeria;1;1;Russia;FALSO
821;2014;28/06/2014;Round of 16;Brazil;1;1;Chile;VERO
822;2014;28/06/2014;Round of 16;Colombia;2;0;Uruguay;FALSO
823;2014;29/06/2014;Round of 16;Netherlands;2;1;Mexico;FALSO
824;2014;29/06/2014;Round of 16;Costa Rica;1;1;Greece;FALSO
825;2014;30/06/2014;Round of 16;France;2;0;Nigeria;FALSO
826;2014;30/06/2014;Round of 16;Germany;2;1;Algeria;FALSO
827;2014;01/07/2014;Round of 16;Argentina;1;0;Switzerland;FALSO
828;2014;01/07/2014;Round of 16;Belgium;2;1;United States;FALSO
829;2014;04/07/2014;Quarter-finals;France;0;1;Germany;FALSO
830;2014;04/07/2014;Quarter-finals;Brazil;2;1;Colombia;VERO
831;2014;05/07/2014;Quarter-finals;Argentina;1;0;Belgium;FALSO
832;2014;05/07/2014;Quarter-finals;Netherlands;0;0;Costa Rica;FALSO
833;2014;08/07/2014;Semi-finals;Brazil;1;7;Germany;VERO
834;2014;09/07/2014;Semi-finals;Netherlands;0;0;Argentina;FALSO
835;2014;12/07/2014;Third place;Brazil;0;3;Netherlands;VERO
836;2014;13/07/2014;Final;Germany;1;0;Argentina;FALSO
837;2018;14/06/2018;Group stage;Russia;5;0;Saudi Arabia;VERO
838;2018;15/06/2018;Group stage;Egypt;0;1;Uruguay;FALSO
839;2018;15/06/2018;Group stage;Morocco;0;1;Iran;FALSO
840;2018;15/06/2018;Group stage;Portugal;3;3;Spain;FALSO
841;2018;16/06/2018;Group stage;France;2;1;Australia;FALSO
842;2018;16/06/2018;Group stage;Argentina;1;1;Iceland;FALSO
843;2018;16/06/2018;Group stage;Peru;0;1;Denmark;FALSO
844;2018;16/06/2018;Group stage;Croatia;2;0;Nigeria;FALSO
845;2018;17/06/2018;Group stage;Costa Rica;0;1;Serbia;FALSO
846;2018;17/06/2018;Group stage;Germany;0;1;Mexico;FALSO
847;2018;17/06/2018;Group stage;Brazil;1;1;Switzerland;FALSO
848;2018;18/06/2018;Group stage;Sweden;1;0;South Korea;FALSO
849;2018;18/06/2018;Group stage;Belgium;3;0;Panama;FALSO
850;2018;18/06/2018;Group stage;Tunisia;1;2;England;FALSO
851;2018;19/06/2018;Group stage;Colombia;1;2;Japan;FALSO
852;2018;19/06/2018;Group stage;Poland;1;2;Senegal;FALSO
853;2018;19/06/2018;Group stage;Russia;3;1;Egypt;VERO
854;2018;20/06/2018;Group stage;Portugal;1;0;Morocco;FALSO
855;2018;20/06/2018;Group stage;Uruguay;1;0;Saudi Arabia;FALSO
856;2018;20/06/2018;Group stage;Iran;0;1;Spain;FALSO
857;2018;21/06/2018;Group stage;Denmark;1;1;Australia;FALSO
858;2018;21/06/2018;Group stage;France;1;0;Peru;FALSO
859;2018;21/06/2018;Group stage;Argentina;0;3;Croatia;FALSO
860;2018;22/06/2018;Group stage;Brazil;2;0;Costa Rica;FALSO
861;2018;22/06/2018;Group stage;Nigeria;2;0;Iceland;FALSO
862;2018;22/06/2018;Group stage;Serbia;1;2;Switzerland;FALSO
863;2018;23/06/2018;Group stage;Belgium;5;2;Tunisia;FALSO
864;2018;23/06/2018;Group stage;South Korea;1;2;Mexico;FALSO
865;2018;23/06/2018;Group stage;Germany;2;1;Sweden;FALSO
866;2018;24/06/2018;Group stage;England;6;1;Panama;FALSO
867;2018;24/06/2018;Group stage;Japan;2;2;Senegal;FALSO
868;2018;24/06/2018;Group stage;Poland;0;3;Colombia;FALSO
869;2018;25/06/2018;Group stage;Russia;0;3;Uruguay;VERO
870;2018;25/06/2018;Group stage;Saudi Arabia;2;1;Egypt;FALSO
871;2018;25/06/2018;Group stage;Spain;2;2;Morocco;FALSO
872;2018;25/06/2018;Group stage;Iran;1;1;Portugal;FALSO
873;2018;26/06/2018;Group stage;Australia;0;2;Peru;FALSO
874;2018;26/06/2018;Group stage;Denmark;0;0;France;FALSO
875;2018;26/06/2018;Group stage;Nigeria;1;2;Argentina;FALSO
876;2018;26/06/2018;Group stage;Iceland;1;2;Croatia;FALSO
877;2018;27/06/2018;Group stage;South Korea;2;0;Germany;FALSO
878;2018;27/06/2018;Group stage;Mexico;0;3;Sweden;FALSO
879;2018;27/06/2018;Group stage;Serbia;0;2;Brazil;FALSO
880;2018;27/06/2018;Group stage;Switzerland;2;2;Costa Rica;FALSO
881;2018;28/06/2018;Group stage;Japan;0;1;Poland;FALSO
882;2018;28/06/2018;Group stage;Senegal;0;1;Colombia;FALSO
883;2018;28/06/2018;Group stage;Panama;1;2;Tunisia;FALSO
884;2018;28/06/2018;Group stage;England;0;1;Belgium;FALSO
